device,task,model,lang,load_time_sec,total_inf_time_sec,avg_ms_per_doc,peak_cpu_mb,peak_gpu_mb
CPU,topic,Qwen-LLM,ar,0.0,835.5499007701874,5570.332671801249,1.8828125,0.0
CPU,topic,Qwen-LLM,en,0.0,715.371684551239,4769.144563674927,0.19140625,0.0
CPU,topic,Qwen-LLM,fr,0.0,806.5445897579193,5376.963931719462,0.0,0.0
CPU,sentiment,Qwen-LLM,ar,0.0,842.6535315513611,5617.690210342407,0.0,0.0
CPU,sentiment,Qwen-LLM,en,0.0,714.2552008628845,4761.7013390858965,0.01953125,0.0
CPU,sentiment,Qwen-LLM,fr,0.0,799.480634689331,5329.870897928874,0.0,0.0
CPU,topic,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,en,6.092738389968872,3297.4358897209167,21982.90593147278,1917.5625,0.0
CPU,topic,facebook/bart-large-mnli,en,3.764648675918579,1877.472580909729,12516.483872731527,0.0,0.0
CPU,topic,morit/french_xlm_xnli,fr,7.368232250213623,697.755961894989,4651.70641263326,527.41015625,0.0
CPU,topic,MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,ar,5.665781021118164,1513.1550869941711,10087.70057996114,1308.29296875,0.0
CPU,topic,MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,en,5.84392786026001,1393.176310300827,9287.84206867218,164.0703125,0.0
CPU,topic,MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,fr,6.022528648376465,1445.1519553661346,9634.346369107565,184.23046875,0.0
CPU,sentiment,CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,ar,2.3858885765075684,26.992597579956055,179.95065053304035,0.0,0.0
CPU,sentiment,cardiffnlp/twitter-roberta-base-sentiment-latest,en,1.2345707416534424,24.0090172290802,160.06011486053467,286.84765625,0.0
CPU,sentiment,cmarkea/distilcamembert-base-sentiment,fr,1.3004941940307617,15.302064418792725,102.01376279195149,198.75390625,0.0
CPU,sentiment,cardiffnlp/twitter-xlm-roberta-base-sentiment,ar,6.219890832901001,33.005635023117065,220.03756682078043,589.3125,0.0
CPU,sentiment,cardiffnlp/twitter-xlm-roberta-base-sentiment,en,8.59700632095337,36.69032645225525,244.60217634836835,567.47265625,0.0
CPU,sentiment,cardiffnlp/twitter-xlm-roberta-base-sentiment,fr,4.951128959655762,36.02693176269531,240.1795450846354,571.16015625,0.0
CPU,ner,hatmimoha/arabic-ner,ar,0.8139693737030029,21.19773817062378,141.3182544708252,341.640625,0.0
CPU,ner,dslim/bert-base-NER,en,0.8095967769622803,30.603008031845093,204.02005354563397,349.68359375,0.0
CPU,ner,Jean-Baptiste/camembert-ner,fr,1.588726282119751,36.95826506614685,246.38843377431232,345.51953125,0.0
CPU,ner,urchade/gliner_multi-v2.1,ar,30.984253644943237,103.44080328941345,689.6053552627563,1357.63671875,0.0
CPU,ner,urchade/gliner_multi-v2.1,en,27.688289165496826,86.99424505233765,579.961633682251,187.765625,0.0
CPU,ner,urchade/gliner_multi-v2.1,fr,27.17433762550354,74.51789498329163,496.7859665552775,90.671875,0.0
GPU,topic,Qwen-LLM,ar,0.0,563.0275638103485,3753.51709206899,0.140625,0.0
GPU,topic,Qwen-LLM,en,0.0,608.7942099571228,4058.628066380819,0.0,0.0
GPU,topic,Qwen-LLM,fr,0.0,543.1477875709534,3620.9852504730225,0.0,0.0
GPU,sentiment,Qwen-LLM,ar,0.0,540.1367211341858,3600.9114742279053,0.0,0.0
GPU,sentiment,Qwen-LLM,en,0.0,573.8571100234985,3825.7140668233233,0.0,0.0
GPU,sentiment,Qwen-LLM,fr,0.0,538.7951507568359,3591.9676717122397,0.03515625,0.0
GPU,topic,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,en,2.2556960582733154,295.52280473709106,1970.1520315806072,874.2421875,1667.77001953125
GPU,topic,facebook/bart-large-mnli,en,2.3132076263427734,156.3622453212738,1042.414968808492,0.0,1553.89501953125
